,Time:512Hz,Epoch,Electrode,Event Id,Event Date,Event Duration
90624,177.0,2832,168.0,,,
90625,177.001953125,2832,123.0,,,
90626,177.00390625,2832,52.0,,,
90627,177.005859375,2832,-4.0,,,
90628,177.0078125,2832,4.0,,,
90629,177.009765625,2832,107.0,,,
90630,177.01171875,2832,144.0,,,
90631,177.013671875,2832,98.0,,,
90632,177.015625,2832,73.0,,,
90633,177.017578125,2832,118.0,,,
90634,177.01953125,2832,169.0,,,
90635,177.021484375,2832,160.0,,,
90636,177.0234375,2832,102.0,,,
90637,177.025390625,2832,51.0,,,
90638,177.02734375,2832,118.0,,,
90639,177.029296875,2832,188.0,,,
90640,177.03125,2832,122.0,,,
90641,177.033203125,2832,38.0,,,
90642,177.03515625,2832,66.0,,,
90643,177.037109375,2832,240.0,,,
90644,177.0390625,2832,283.0,,,
90645,177.041015625,2832,128.0,,,
90646,177.04296875,2832,18.0,,,
90647,177.044921875,2832,12.0,,,
90648,177.046875,2832,16.0,,,
90649,177.048828125,2832,10.0,,,
90650,177.05078125,2832,11.0,,,
90651,177.052734375,2832,10.0,,,
90652,177.0546875,2832,-12.0,,,
90653,177.056640625,2832,-74.0,,,
90654,177.05859375,2832,-77.0,,,
90655,177.060546875,2832,21.0,,,
90656,177.0625,2833,130.0,,,
90657,177.064453125,2833,141.0,,,
90658,177.06640625,2833,146.0,,,
90659,177.068359375,2833,93.0,,,
90660,177.0703125,2833,40.0,,,
90661,177.072265625,2833,83.0,,,
90662,177.07421875,2833,152.0,,,
90663,177.076171875,2833,212.0,,,
90664,177.078125,2833,172.0,,,
90665,177.080078125,2833,105.0,,,
90666,177.08203125,2833,108.0,,,
90667,177.083984375,2833,162.0,,,
90668,177.0859375,2833,134.0,,,
90669,177.087890625,2833,56.0,,,
90670,177.08984375,2833,3.0,,,
90671,177.091796875,2833,13.0,,,
90672,177.09375,2833,42.0,,,
90673,177.095703125,2833,28.0,,,
90674,177.09765625,2833,1.0,,,
90675,177.099609375,2833,60.0,,,
90676,177.1015625,2833,166.0,,,
90677,177.103515625,2833,183.0,,,
90678,177.10546875,2833,130.0,,,
90679,177.107421875,2833,75.0,,,
90680,177.109375,2833,67.0,,,
90681,177.111328125,2833,83.0,,,
90682,177.11328125,2833,112.0,,,
90683,177.115234375,2833,123.0,,,
90684,177.1171875,2833,90.0,,,
90685,177.119140625,2833,5.0,,,
90686,177.12109375,2833,12.0,,,
90687,177.123046875,2833,145.0,,,
90688,177.125,2834,210.0,,,
90689,177.126953125,2834,133.0,,,
90690,177.12890625,2834,48.0,,,
90691,177.130859375,2834,1.0,,,
90692,177.1328125,2834,10.0,,,
90693,177.134765625,2834,55.0,,,
90694,177.13671875,2834,57.0,,,
90695,177.138671875,2834,65.0,,,
90696,177.140625,2834,45.0,,,
90697,177.142578125,2834,13.0,,,
90698,177.14453125,2834,39.0,,,
90699,177.146484375,2834,98.0,,,
90700,177.1484375,2834,124.0,,,
90701,177.150390625,2834,98.0,,,
90702,177.15234375,2834,40.0,,,
90703,177.154296875,2834,27.0,,,
90704,177.15625,2834,21.0,,,
90705,177.158203125,2834,26.0,,,
90706,177.16015625,2834,54.0,,,
90707,177.162109375,2834,73.0,,,
90708,177.1640625,2834,83.0,,,
90709,177.166015625,2834,74.0,,,
90710,177.16796875,2834,40.0,,,
90711,177.169921875,2834,48.0,,,
90712,177.171875,2834,116.0,,,
90713,177.173828125,2834,129.0,,,
90714,177.17578125,2834,100.0,,,
90715,177.177734375,2834,50.0,,,
90716,177.1796875,2834,49.0,,,
90717,177.181640625,2834,25.0,,,
90718,177.18359375,2834,9.0,,,
90719,177.185546875,2834,18.0,,,
90720,177.1875,2835,11.0,,,
90721,177.189453125,2835,-18.0,,,
90722,177.19140625,2835,-38.0,,,
90723,177.193359375,2835,-13.0,,,
90724,177.1953125,2835,43.0,,,
90725,177.197265625,2835,48.0,,,
90726,177.19921875,2835,48.0,,,
90727,177.201171875,2835,51.0,,,
90728,177.203125,2835,36.0,,,
90729,177.205078125,2835,56.0,,,
90730,177.20703125,2835,90.0,,,
90731,177.208984375,2835,114.0,,,
90732,177.2109375,2835,124.0,,,
90733,177.212890625,2835,88.0,,,
90734,177.21484375,2835,74.0,,,
90735,177.216796875,2835,82.0,,,
90736,177.21875,2835,77.0,,,
90737,177.220703125,2835,99.0,,,
90738,177.22265625,2835,91.0,,,
90739,177.224609375,2835,100.0,,,
90740,177.2265625,2835,121.0,,,
90741,177.228515625,2835,102.0,,,
90742,177.23046875,2835,90.0,,,
90743,177.232421875,2835,103.0,,,
90744,177.234375,2835,120.0,,,
90745,177.236328125,2835,82.0,,,
90746,177.23828125,2835,19.0,,,
90747,177.240234375,2835,16.0,,,
90748,177.2421875,2835,36.0,,,
90749,177.244140625,2835,1.0,,,
90750,177.24609375,2835,-81.0,,,
90751,177.248046875,2835,-103.0,,,
90752,177.25,2836,-22.0,,,
90753,177.251953125,2836,38.0,,,
90754,177.25390625,2836,6.0,,,
90755,177.255859375,2836,-29.0,,,
90756,177.2578125,2836,40.0,,,
90757,177.259765625,2836,133.0,,,
90758,177.26171875,2836,200.0,,,
90759,177.263671875,2836,220.0,,,
90760,177.265625,2836,171.0,,,
90761,177.267578125,2836,147.0,,,
90762,177.26953125,2836,92.0,,,
90763,177.271484375,2836,10.0,,,
90764,177.2734375,2836,-24.0,,,
90765,177.275390625,2836,48.0,,,
90766,177.27734375,2836,136.0,,,
90767,177.279296875,2836,166.0,,,
90768,177.28125,2836,184.0,,,
90769,177.283203125,2836,211.0,,,
90770,177.28515625,2836,179.0,,,
90771,177.287109375,2836,132.0,,,
90772,177.2890625,2836,123.0,,,
90773,177.291015625,2836,114.0,,,
90774,177.29296875,2836,68.0,,,
90775,177.294921875,2836,10.0,,,
90776,177.296875,2836,-40.0,,,
90777,177.298828125,2836,11.0,,,
90778,177.30078125,2836,145.0,,,
90779,177.302734375,2836,198.0,,,
90780,177.3046875,2836,130.0,,,
90781,177.306640625,2836,41.0,,,
90782,177.30859375,2836,83.0,,,
90783,177.310546875,2836,154.0,,,
90784,177.3125,2837,85.0,,,
90785,177.314453125,2837,-37.0,,,
90786,177.31640625,2837,-49.0,,,
90787,177.318359375,2837,-25.0,,,
90788,177.3203125,2837,36.0,,,
90789,177.322265625,2837,141.0,,,
90790,177.32421875,2837,170.0,,,
90791,177.326171875,2837,124.0,,,
90792,177.328125,2837,90.0,,,
90793,177.330078125,2837,122.0,,,
90794,177.33203125,2837,123.0,,,
90795,177.333984375,2837,74.0,,,
90796,177.3359375,2837,74.0,,,
90797,177.337890625,2837,91.0,,,
90798,177.33984375,2837,117.0,,,
90799,177.341796875,2837,129.0,,,
90800,177.34375,2837,84.0,,,
90801,177.345703125,2837,-2.0,,,
90802,177.34765625,2837,0.0,,,
90803,177.349609375,2837,88.0,,,
90804,177.3515625,2837,154.0,,,
90805,177.353515625,2837,189.0,,,
90806,177.35546875,2837,161.0,,,
90807,177.357421875,2837,184.0,,,
90808,177.359375,2837,252.0,,,
90809,177.361328125,2837,264.0,,,
90810,177.36328125,2837,198.0,,,
90811,177.365234375,2837,137.0,,,
90812,177.3671875,2837,116.0,,,
90813,177.369140625,2837,52.0,,,
90814,177.37109375,2837,-1.0,,,
90815,177.373046875,2837,13.0,,,
90816,177.375,2838,37.0,,,
90817,177.376953125,2838,107.0,,,
90818,177.37890625,2838,128.0,,,
90819,177.380859375,2838,-8.0,,,
90820,177.3828125,2838,-70.0,,,
90821,177.384765625,2838,44.0,,,
90822,177.38671875,2838,146.0,,,
90823,177.388671875,2838,134.0,,,
90824,177.390625,2838,67.0,,,
90825,177.392578125,2838,-12.0,,,
90826,177.39453125,2838,3.0,,,
90827,177.396484375,2838,72.0,,,
90828,177.3984375,2838,76.0,,,
90829,177.400390625,2838,23.0,,,
90830,177.40234375,2838,6.0,,,
90831,177.404296875,2838,-4.0,,,
90832,177.40625,2838,-7.0,,,
90833,177.408203125,2838,-34.0,,,
90834,177.41015625,2838,-120.0,,,
